Redundant entries removed (duplicates)
================================================================================
Header: date_range | source_city_name | brand_name | top_slug | mid_slug | leaf_slug | source_sku_id | sku_description | sku_weight | total_quantity | total_mrp | total_sales |  | 
================================================================================

RE #1: 20260201 - 20260202 | Mumbai | Chaayos | beverages | energy-soft-drinks | icetea-non-aerated-drink | 40348264 | Chaayos instant-peach-iced-tea-premix 220 g  (22 g x 10) | 220 g | 3 | 357 | 296.31 |  | 
RE #2: 20260201 - 20260202 | Chennai | Chaayos | beverages | tea | leaf-dust-tea | 40348268 | Chaayos adrakh-elaichi-instant-tea-premix 120 g  (15 x 8 g each) | 120 g | 2 | 372 | 322.75 |  | 
RE #3: 20260201 - 20260202 | Gurgaon | Chaayos | gourmet-world-food | drinks-beverages | gourmet-tea-tea-bags | 40348271 | Chaayos detox-kahwa-herbal-green-tea 25 pcs | 25 pcs | 1 | 209 | 177.65 |  | 
RE #4: 20260201 - 20260202 | Mumbai | Chaayos | beverages | tea | leaf-dust-tea | 40348266 | Chaayos adrakh-elaichi-instant-chai-tea 250 g | 250 g | 3 | 897 | 735 |  | 
RE #5: 20260201 - 20260202 | Chennai | Chaayos | gourmet-world-food | drinks-beverages | gourmet-tea-tea-bags | 40348269 | Chaayos instant-chai-tea-premix-combo 168 g  (14 g x 12) | 168 g | 1 | 150 | 128.7 |  | 
RE #6: 20260201 - 20260202 | Hyderabad | Chaayos | beverages | tea | leaf-dust-tea | 40348268 | Chaayos adrakh-elaichi-instant-tea-premix 120 g  (15 x 8 g each) | 120 g | 1 | 209 | 185.01 |  | 
RE #7: 20260201 - 20260202 | Mumbai | Chaayos | beverages | tea | leaf-dust-tea | 40348268 | Chaayos adrakh-elaichi-instant-tea-premix 120 g  (15 x 8 g each) | 120 g | 3 | 627 | 555.03 |  | 
RE #8: 20260201 - 20260202 | Gurgaon | Chaayos | beverages | tea | leaf-dust-tea | 40348266 | Chaayos adrakh-elaichi-instant-chai-tea 250 g | 250 g | 6 | 1794 | 1470 |  | 
RE #9: 20260201 - 20260202 | Pune | Chaayos | beverages | energy-soft-drinks | icetea-non-aerated-drink | 40348264 | Chaayos instant-peach-iced-tea-premix 220 g  (22 g x 10) | 220 g | 3 | 318 | 263.94 |  | 
RE #10: 20260201 - 20260202 | Hyderabad | Chaayos | gourmet-world-food | drinks-beverages | gourmet-tea-tea-bags | 40194562 | Chaayos instant-desi-masala-chai-tea 25 pcs | 25 pcs | 1 | 159 | 135.15 |  | 
RE #11: 20260201 - 20260202 | Bangalore | Chaayos | beverages | energy-soft-drinks | icetea-non-aerated-drink | 40348264 | Chaayos instant-peach-iced-tea-premix 220 g  (22 g x 10) | 220 g | 2 | 238 | 188.02 |  | 
RE #12: 20260201 - 20260202 | Mumbai | Chaayos | gourmet-world-food | drinks-beverages | gourmet-tea-tea-bags | 40194790 | Chaayos instant-desi-masala-chai-tea 210 g  (Pack of 15) | 210 g | 1 | 189 | 180 |  | 
RE #13: 20260201 - 20260202 | Hyderabad | Chaayos | gourmet-world-food | drinks-beverages | gourmet-tea-tea-bags | 40348269 | Chaayos instant-chai-tea-premix-combo 168 g  (14 g x 12) | 168 g | 1 | 169 | 135.2 |  | 
