Date,Category,Internal SKU,City,State,Region,Units,GMV,Platform,,date_range,source_city_name,brand_name,top_slug,mid_slug,leaf_slug,source_sku_id,sku_description,sku_weight,total_quantity,total_mrp,total_sales
31/10/2025,Tea Bag,Chaayos Masala Tea Bag,Bangalore,Karnataka,South,61,11539,Big Basket,,20251001 - 20251031,Bangalore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194562,Chaayos instant-desi-masala-chai-tea 25 pcs,25 pcs,61,11539,9480.2
31/10/2025,Chai Patti,Chaayos Masala Tea 250g,Gurgaon,Haryana,Delhi NCR,2,658,Big Basket,,20251001 - 20251031,Gurgaon,Chaayos,beverages,tea,leaf-dust-tea,40348267,Chaayos desi-masala-chai-tea 250 g,250 g,2,658,558
31/10/2025,Premix,Chaayos Cardamom Tea Premix Pack of 15,Mumbai,Maharashtra,West,8,1512,Big Basket,,20251001 - 20251031,Mumbai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348270,Chaayos instant-cardamom-tea-premix 210 g  (14 g x 15),210 g,8,1512,1329.11
31/10/2025,Ice Tea,Chaayos Lemon Iced Tea Premix,Mumbai,Maharashtra,West,27,3213,Big Basket,,20251001 - 20251031,Mumbai,Chaayos,beverages,energy-soft-drinks,icetea-non-aerated-drink,40348265,Chaayos instant-lemon-iced-tea-premix 220 g  (20 g x 10),220 g,27,3213,2588.47
31/10/2025,Tea Bag,Chaayos Detox Kahwa Tea Bag,Bangalore,Karnataka,South,23,4807,Big Basket,,20251001 - 20251031,Bangalore,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40348271,Chaayos detox-kahwa-herbal-green-tea 25 pcs,25 pcs,23,4807,3922.35
31/10/2025,Chai Patti,Chaayos Adrak Elaichi 100g,Mumbai,Maharashtra,West,3,597,Big Basket,,20251001 - 20251031,Mumbai,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194559,Chaayos tea-blendchai-adrak-elaichi-premium-flavoured 100 g,100 g,3,597,447.4
31/10/2025,Chai Patti,Chaayos Masala Tea 250g,Bangalore,Karnataka,South,24,7896,Big Basket,,20251001 - 20251031,Bangalore,Chaayos,beverages,tea,leaf-dust-tea,40348267,Chaayos desi-masala-chai-tea 250 g,250 g,24,7896,6951.2
31/10/2025,Discontinue,Discontinue,Nashik,Maharashtra,West,1,375,Big Basket,,20251001 - 20251031,Nashik,Chaayos,gourmet-world-food,drinks-beverages,gourmet-tea-tea-bags,40194557,Chaayos instant-tea-premix-adrak-elaichi-low-sugar 180 g  (15 Sachet x 12 g each),180 g,1,375,299
31/10/2025,Chai Patti,Chaayos Adrak Elaichi 250g,Bangalore,Karnataka,South,35,10465,Big Basket,,20251001 - 20251031,Bangalore,Chaayos,beverages,tea,leaf-dust-tea,40348266,Chaayos adrakh-elaichi-instant-chai-tea 250 g,250 g,35,10465,9283.95
31/10/2025,Ice Tea,Chaayos Lemon Iced Tea Premix,Gurgaon,Haryana,Delhi NCR,2,238,Big Basket,,20251001 - 20251031,Gurgaon,Chaayos,beverages,energy-soft-drinks,icetea-non-aerated-drink,40348265,Chaayos instant-lemon-iced-tea-premix 220 g  (20 g x 10),220 g,2,238,198
