Date,Category,Internal SKU,City,State,Region,Units,GMV,Platform,,BrandName_gsheet,order_date_time,city,product_id,analytic_business_unit,analytic_super_category,analytic_vertical,brand_csv,units,mrp
01/10/2025,Chai Patti,Chaayos Masala Tea 100g,Patna,Bihar,East,1,139,Flipkart Minutes,,Chaayos,01/10/2025 00:00:00,Patna,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,1,139
01/10/2025,Ice Tea,Chaayos Peach Iced Tea Premix,Bangalore,Karnataka,South,1,119,Flipkart Minutes,,Chaayos,01/10/2025 00:00:00,Bangalore,TEAHAYP6R3YEVR5Q,BGM,FoodAndNutrition,Tea,Chaayos,1,119
01/10/2025,Chai Patti,Chaayos Adrak Elaichi 100g,Kolkata,West Bengal,East,1,139,Flipkart Minutes,,Chaayos,01/10/2025 00:00:00,Kolkata,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,1,139
01/10/2025,Chai Patti,Chaayos Masala Tea 100g,Delhi,Delhi,Delhi NCR,3,417,Flipkart Minutes,,Chaayos,01/10/2025 00:00:00,Delhi,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,3,417
01/10/2025,Premix,Chaayos Masala Tea Premix Pack of 15,Bangalore,Karnataka,South,3,567,Flipkart Minutes,,Chaayos,01/10/2025 00:00:00,Bangalore,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,3,567
01/10/2025,Tea Bag,Chaayos Masala Tea Bag,Delhi,Delhi,Delhi NCR,1,159,Flipkart Minutes,,Chaayos,01/10/2025 00:00:00,Delhi,TEAH35UPTQHFCAXB,BGM,FoodAndNutrition,Tea,Chaayos,1,159
01/10/2025,Chai Patti,Chaayos Masala Tea 100g,Bangalore,Karnataka,South,1,139,Flipkart Minutes,,Chaayos,01/10/2025 00:00:00,Bangalore,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,1,139
01/10/2025,Ice Tea,Chaayos Lemon Iced Tea Premix,Delhi,Delhi,Delhi NCR,4,666,Flipkart Minutes,,Chaayos,01/10/2025 00:00:00,Delhi,TEAHAYP6HSFNH6FZ,BGM,FoodAndNutrition,Tea,Chaayos,4,666
01/10/2025,Ice Tea,Chaayos Lemon Iced Tea Premix,Kolkata,West Bengal,East,2,238,Flipkart Minutes,,Chaayos,01/10/2025 00:00:00,Kolkata,TEAHAYP6HSFNH6FZ,BGM,FoodAndNutrition,Tea,Chaayos,2,238
01/10/2025,Ice Tea,Chaayos Peach Iced Tea Premix,Mumbai,Maharashtra,West,1,119,Flipkart Minutes,,Chaayos,01/10/2025 00:00:00,Mumbai,TEAHAYP6R3YEVR5Q,BGM,FoodAndNutrition,Tea,Chaayos,1,119
01/10/2025,Ice Tea,Chaayos Lemon Iced Tea Premix,Mumbai,Maharashtra,West,1,199,Flipkart Minutes,,Chaayos,01/10/2025 00:00:00,Mumbai,TEAHAYP6HSFNH6FZ,BGM,FoodAndNutrition,Tea,Chaayos,1,199
01/10/2025,Premix,Chaayos Masala Tea Premix Pack of 15,Delhi,Delhi,Delhi NCR,4,756,Flipkart Minutes,,Chaayos,01/10/2025 00:00:00,Delhi,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,4,756
01/10/2025,Premix,Chaayos Cardamom Tea Premix Pack of 15,Jaipur,Rajasthan,West,1,189,Flipkart Minutes,,Chaayos,01/10/2025 00:00:00,Jaipur,TEAH35UP6Y82FRVY,BGM,FoodAndNutrition,Tea,Chaayos,1,189
01/10/2025,Chai Patti,Chaayos Adrak Elaichi 100g,Guwahati,Assam,East,1,139,Flipkart Minutes,,Chaayos,01/10/2025 00:00:00,Guwahati,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,1,139
01/10/2025,Premix,Chaayos Masala Tea Premix Pack of 15,Mumbai,Maharashtra,West,6,1134,Flipkart Minutes,,Chaayos,01/10/2025 00:00:00,Mumbai,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,6,1134
01/10/2025,Chai Patti,Chaayos Adrak Elaichi 100g,Delhi,Delhi,Delhi NCR,3,417,Flipkart Minutes,,Chaayos,01/10/2025 00:00:00,Delhi,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,3,417
