date_range,source_city_name,brand_name,top_slug,mid_slug,leaf_slug,source_sku_id,sku_description,sku_weight,total_quantity,total_mrp,total_sales
20241001 - 20241031,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,47448644,Jaldhara rose-sharbat-concentrate 150 g,150 g,61,11539,9480.2
20241001 - 20241031,Gurgaon,Jaldhara,beverages,tea,leaf-dust-tea,40929456,Jaldhara kala-namak-lemonade-instant-drink-mix 225 g,225 g,2,658,558
20241001 - 20241031,Mumbai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,48004382,Jaldhara instant-orange-electrolyte-drink-mix 330 g  (16.5 g x 20),330 g,8,1512,1329.11
20241001 - 20241031,Mumbai,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,42410255,Jaldhara instant-mango-iced-drink-premix 220 g  (22 g x 10),220 g,27,3213,2588.47
20241001 - 20241031,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43792419,Jaldhara kewra-sharbat-concentrate-herbal-drink 25 pcs,150 g,23,4807,3922.35
20241001 - 20241031,Mumbai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43635493,Jaldhara drink-mix-nimbu-shikanji-premium-flavoured 90 g,90 g,3,597,447.4
20241001 - 20241031,Bangalore,Jaldhara,beverages,tea,leaf-dust-tea,40929456,Jaldhara kala-namak-lemonade-instant-drink-mix 225 g,225 g,24,7896,6951.2
20241001 - 20241031,Nashik,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,49244038,Jaldhara instant-drink-mix-nimbu-shikanji-low-sugar 180 g  (15 Sachet x 12 g each),180 g,1,375,299
20241001 - 20241031,Bangalore,Jaldhara,beverages,tea,leaf-dust-tea,40127838,Jaldhara nimbu-shikanji-instant-drink-mix 250 g,225 g,35,10465,9283.95
20241001 - 20241031,Gurgaon,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,42410255,Jaldhara instant-mango-iced-drink-premix 220 g  (22 g x 10),220 g,2,238,198
20241001 - 20241031,Mysore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,49244038,Jaldhara instant-drink-mix-nimbu-shikanji-low-sugar 180 g  (15 Sachet x 12 g each),180 g,2,750,450
20241001 - 20241031,Pune,Jaldhara,beverages,tea,leaf-dust-tea,45266919,Jaldhara lemon-electrolyte-instant-drink-mix 330 g  (16.5 g x 20),330 g,2,372,372
20241001 - 20241031,Hyderabad,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43316133,Jaldhara instant-drink-mix-combo 210 g  (14 g x 15),210 g,22,3718,3077.83
20241001 - 20241031,Hyderabad,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,49244038,Jaldhara instant-drink-mix-nimbu-shikanji-low-sugar 180 g  (15 Sachet x 12 g each),180 g,4,1500,937.5
20241001 - 20241031,Mumbai,Jaldhara,beverages,tea,leaf-dust-tea,40929456,Jaldhara kala-namak-lemonade-instant-drink-mix 225 g,225 g,18,5922,5423.3
20241001 - 20241031,Hyderabad,Jaldhara,beverages,tea,leaf-dust-tea,40127838,Jaldhara nimbu-shikanji-instant-drink-mix 250 g,225 g,21,6279,5546.45
20241001 - 20241031,Hyderabad,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,46372398,Jaldhara instant-masala-lime-electrolyte-drink-mix 330 g  (Pack of 20),330 g,4,1500,799.5
20241001 - 20241031,Bangalore,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,42410255,Jaldhara instant-mango-iced-drink-premix 220 g  (22 g x 10),220 g,28,3332,2309.05
20241001 - 20241031,Gurgaon,Jaldhara,beverages,tea,leaf-dust-tea,45266919,Jaldhara lemon-electrolyte-instant-drink-mix 330 g  (16.5 g x 20),330 g,1,209,199
20241001 - 20241031,Kochi Rural,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43635493,Jaldhara drink-mix-nimbu-shikanji-premium-flavoured 90 g,90 g,1,199,129
20241001 - 20241031,Mangaluru,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,42980060,Jaldhara kala-namak-nimbu-shikanji-blend 90 g,90 g,1,199,129
20241001 - 20241031,Chennai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,47448644,Jaldhara rose-sharbat-concentrate 150 g,150 g,6,1034,884.4
20241001 - 20241031,Hyderabad,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,40187040,Jaldhara instant-watermelon-iced-drink-premix 220 g  (22 g x 10),220 g,15,1785,1401.96
20241001 - 20241031,Pune,Jaldhara,beverages,energy-soft-drinks,icetea-non-aerated-drink,42410255,Jaldhara instant-mango-iced-drink-premix 220 g  (22 g x 10),220 g,3,318,297
20241001 - 20241031,Bangalore,Jaldhara,beverages,tea,leaf-dust-tea,45266919,Jaldhara lemon-electrolyte-instant-drink-mix 330 g  (16.5 g x 20),330 g,38,7942,6970.21
20241001 - 20241031,Vijayawada-Guntur,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,47448644,Jaldhara rose-sharbat-concentrate 150 g,150 g,2,398,318.4
20241001 - 20241031,Bangalore,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,44368015,Jaldhara summer-fiesta-gift-box-nimbu-shikanji-kala-namak 200 g  (2x100 g),200 g,1,649,599
20241001 - 20241031,Pune,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43316133,Jaldhara instant-drink-mix-combo 210 g  (14 g x 15),210 g,1,150,150
20241001 - 20241031,Kochi,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,47448644,Jaldhara rose-sharbat-concentrate 150 g,150 g,1,199,119.4
20241001 - 20241031,Mumbai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43316133,Jaldhara instant-drink-mix-combo 210 g  (14 g x 15),210 g,9,1521,1282.02
20241001 - 20241031,Hyderabad,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,48004382,Jaldhara instant-orange-electrolyte-drink-mix 330 g  (16.5 g x 20),330 g,29,5481,4650.69
20241001 - 20241031,Kochi Rural,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,46372398,Jaldhara instant-masala-lime-electrolyte-drink-mix 330 g  (Pack of 20),330 g,1,375,179
20241001 - 20241031,Visakhapatnam,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,49244038,Jaldhara instant-drink-mix-nimbu-shikanji-low-sugar 180 g  (15 Sachet x 12 g each),180 g,1,375,299
20241001 - 20241031,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,49244038,Jaldhara instant-drink-mix-nimbu-shikanji-low-sugar 180 g  (15 Sachet x 12 g each),180 g,23,8625,6432.32
20241001 - 20241031,Mumbai,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,47448644,Jaldhara rose-sharbat-concentrate 150 g,150 g,10,1990,1480.8
20241001 - 20241031,Gurgaon,Jaldhara,snacks-branded-foods,chocolates-candies,gift-boxes,44368015,Jaldhara summer-fiesta-gift-box-nimbu-shikanji-kala-namak 200 g  (2x100 g),200 g,9,5841,5391
20241001 - 20241031,Bangalore,Jaldhara,gourmet-world-food,drinks-beverages,gourmet-tea-tea-Mixs,43635493,Jaldhara drink-mix-nimbu-shikanji-premium-flavoured 90 g,90 g,41,7349,5739
