BrandName_gsheet,order_date_time,city,product_id,analytic_business_unit,analytic_super_category,analytic_vertical,brand_csv,units,mrp
Jaldhara,01/10/2024,Patna,COOL9TQ6V9MH7F2V,BGM,FoodAndNutrition,Drinks,Jaldhara,1,139
Jaldhara,01/10/2024,Bangalore,COOL9O75LRIJ4NYS,BGM,FoodAndNutrition,Drinks,Jaldhara,1,119
Jaldhara,01/10/2024,Kolkata,COOLHGI1JNYT7RPW,BGM,FoodAndNutrition,Drinks,Jaldhara,1,139
Jaldhara,01/10/2024,Delhi,COOL9TQ6V9MH7F2V,BGM,FoodAndNutrition,Drinks,Jaldhara,3,417
Jaldhara,01/10/2024,Bangalore,COOL7J5OXVKYV9YP,BGM,FoodAndNutrition,Drinks,Jaldhara,3,567
Jaldhara,01/10/2024,Delhi,COOL3MNM3N3TGBN4,BGM,FoodAndNutrition,Drinks,Jaldhara,1,159
Jaldhara,01/10/2024,Bangalore,COOL9TQ6V9MH7F2V,BGM,FoodAndNutrition,Drinks,Jaldhara,1,139
Jaldhara,01/10/2024,Delhi,COOLO1MZ7E5V0VOD,BGM,FoodAndNutrition,Drinks,Jaldhara,4,666
Jaldhara,01/10/2024,Kolkata,COOLO1MZ7E5V0VOD,BGM,FoodAndNutrition,Drinks,Jaldhara,2,238
Jaldhara,01/10/2024,Mumbai,COOL9O75LRIJ4NYS,BGM,FoodAndNutrition,Drinks,Jaldhara,1,119
Jaldhara,01/10/2024,Mumbai,COOLO1MZ7E5V0VOD,BGM,FoodAndNutrition,Drinks,Jaldhara,1,199
Jaldhara,01/10/2024,Delhi,COOL7J5OXVKYV9YP,BGM,FoodAndNutrition,Drinks,Jaldhara,4,756
Jaldhara,01/10/2024,Jaipur,COOL3YIK1CP8JS65,BGM,FoodAndNutrition,Drinks,Jaldhara,1,189
Jaldhara,01/10/2024,Guwahati,COOLHGI1JNYT7RPW,BGM,FoodAndNutrition,Drinks,Jaldhara,1,139
Jaldhara,01/10/2024,Mumbai,COOL7J5OXVKYV9YP,BGM,FoodAndNutrition,Drinks,Jaldhara,6,1134
Jaldhara,01/10/2024,Delhi,COOLHGI1JNYT7RPW,BGM,FoodAndNutrition,Drinks,Jaldhara,3,417
Jaldhara,01/10/2024,Mumbai,COOL9TQ6V9MH7F2V,BGM,FoodAndNutrition,Drinks,Jaldhara,1,139
Jaldhara,01/10/2024,Delhi,COOL9O75LRIJ4NYS,BGM,FoodAndNutrition,Drinks,Jaldhara,6,714
Jaldhara,01/10/2024,Mumbai,COOLHGI1JNYT7RPW,BGM,FoodAndNutrition,Drinks,Jaldhara,3,417
