order_date_time,city,FKM_identifier,analytic_business_unit,analytic_super_category,analytic_vertical,brand_csv,units,mrp,internal_id,internal_name,Category
2025-10-01,Patna,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,1,139,1504.0,Chaayos Masala Tea 100g,Chai Patti
2025-10-01,Bangalore,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,5,695,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-01,Kolkata,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,1,139,1504.0,Chaayos Masala Tea 100g,Chai Patti
2025-10-01,Delhi,TEAH35UPN3ZB4CPY,BGM,FoodAndNutrition,Tea,Chaayos,4,1396,,Discontinue,Discontinue
2025-10-01,Mumbai,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,3,417,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-01,Delhi,TEAHAYP6R3YEVR5Q,BGM,FoodAndNutrition,Tea,Chaayos,6,714,5915.0,Chaayos Peach Iced Tea Premix,Ice Tea
2025-10-01,Mumbai,TEAH35UHKB2DCZPV,BGM,FoodAndNutrition,Tea,Chaayos,1,139,1504.0,Chaayos Masala Tea 100g,Chai Patti
2025-10-01,Delhi,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,3,417,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-01,Mumbai,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,6,1134,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
2025-10-01,Guwahati,TEAH35UP8DYXN3HJ,BGM,FoodAndNutrition,Tea,Chaayos,1,139,1505.0,Chaayos Adrak Elaichi 100g,Chai Patti
2025-10-01,Jaipur,TEAH35UP6Y82FRVY,BGM,FoodAndNutrition,Tea,Chaayos,1,189,4973.0,Chaayos Cardamom Tea Premix Pack of 15,Premix
2025-10-01,Delhi,TEAH35UP6Y82FRVY,BGM,FoodAndNutrition,Tea,Chaayos,2,378,4973.0,Chaayos Cardamom Tea Premix Pack of 15,Premix
2025-10-01,Mumbai,TEAHAYP6HSFNH6FZ,BGM,FoodAndNutrition,Tea,Chaayos,1,199,5916.0,Chaayos Lemon Iced Tea Premix,Ice Tea
2025-10-01,Delhi,TEAH35UHJQ3CPMXQ,BGM,FoodAndNutrition,Tea,Chaayos,4,756,4972.0,Chaayos Masala Tea Premix Pack of 15,Premix
